RUN TIME,Run Time(in seconds)-original,Run time(in seconds)-multi-thread,Run time(in seconds)-CUDA,Run Time(in seconds)-MPI
Time elapsed was,0.147420838,0.589026947,0.779620302,0.383542535
Time elapsed was,0.149675541,0.611672823,0.765045911,0.360558646
Time elapsed was,0.149838325,0.614889458,0.767502727,0.459626874
Time elapsed was,0.150855335,0.632863491,0.759780158,0.338788579
Time elapsed was,0.148587514,0.620052715,0.765061578,0.333297537
Time elapsed was,0.149361033,0.619821956,0.766171805,0.364824161
Time elapsed was,0.147510873,0.60698049,0.769130817,0.330158922
Time elapsed was,0.151332111,0.632301374,0.775556222,0.317482321
Time elapsed was,0.148168766,0.596338073,0.770412237,0.34654497
Time elapsed was,0.148684903,0.594468338,0.773471311,0.361931096
,,,,
,,,,
MEAN,0.1491435239,0.6118415665,0.7691753068,0.3596755641
