,Run time (Sec) original program,Run time(Sec)  Multi-thread,Run time(Sec) CUDA
,791.776955085,473.77603666,0.11115867
,780.131357628,499.119970607,0.107981426
,752.351511374,500.755832412,0.092738743
,767.673485191,503.51243931,0.093943209
,783.138732698,504.048126441,0.095715608
,773.077678082,496.592408496,0.099804862
,837.526918523,502.839626698,0.09482539
,767.733688947,488.104317687,0.095306103
,768.696680963,424.387069892,0.096997979
,798.763372918,429.656211868,0.091638537
,,,
,,,
MEAN,782.0870381409,482.2792040071,0.0980110527
